# Annotated with Bakta
# Software: v1.9.3
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_4	cds	61874	65302	+	BEEJFJ_02200		pyruvate carboxylase	EC:6.4.1.1, GO:0004736, GO:0005524, GO:0006090, GO:0006094, GO:0009374, GO:0046872, KEGG:K01958, SO:0001217, UniParc:UPI002407EE4A, UniRef:UniRef100_UPI002407EE4A, UniRef:UniRef50_Q9KWU4, UniRef:UniRef90_UPI002407EE4A
contig_4	cds	65350	66306	+	BEEJFJ_02205		D-2-hydroxyacid dehydrogenase	RefSeq:WP_251445740.1, SO:0001217, UniParc:UPI00203CD8BE, UniRef:UniRef100_UPI00203CD8BE, UniRef:UniRef50_A0A096B6S5, UniRef:UniRef90_UPI00203CD8BE
contig_4	cds	66371	66862	+	BEEJFJ_02210		S-layer-like y domain-containing protein	RefSeq:WP_251445743.1, SO:0001217, UniParc:UPI00203F6A54, UniRef:UniRef100_UPI00203F6A54, UniRef:UniRef50_A0A096CIV7, UniRef:UniRef90_UPI00203F6A54
contig_4	cds	66922	67488	-	BEEJFJ_02215	ymfQ	YmfQ family protein	RefSeq:WP_251445745.1, SO:0001217, UniParc:UPI00203AC5A4, UniRef:UniRef100_UPI00203AC5A4, UniRef:UniRef50_F4XF96, UniRef:UniRef90_UPI00203AC5A4
contig_4	cds	67485	68540	-	BEEJFJ_02220		baseplate J/gp47 family protein	RefSeq:WP_251445748.1, SO:0001217, UniParc:UPI00203DAAD1, UniRef:UniRef100_UPI00203DAAD1, UniRef:UniRef50_R9M5D7, UniRef:UniRef90_UPI00203DAAD1
contig_4	cds	68537	68890	-	BEEJFJ_02225		IraD/Gp25-like domain-containing protein	RefSeq:WP_251445752.1, SO:0001217, UniParc:UPI00203EA6E0, UniRef:UniRef100_UPI00203EA6E0, UniRef:UniRef50_A0A1Y4RZ01, UniRef:UniRef90_UPI00203EA6E0
contig_4	cds	68896	69270	-	BEEJFJ_02230		hypothetical protein	RefSeq:WP_251445755.1, SO:0001217, UniParc:UPI002041A092, UniRef:UniRef100_UPI002041A092, UniRef:UniRef50_UPI002041A092, UniRef:UniRef90_UPI002041A092
contig_4	cds	69276	70211	-	BEEJFJ_02235		hypothetical protein	RefSeq:WP_251445758.1, SO:0001217, UniParc:UPI002040E9AB, UniRef:UniRef100_UPI002040E9AB, UniRef:UniRef50_UPI002040E9AB, UniRef:UniRef90_UPI002040E9AB
contig_4	cds	70208	70789	-	BEEJFJ_02240	lysM	LysM peptidoglycan-binding domain-containing protein	RefSeq:WP_251445761.1, SO:0001217, UniParc:UPI002041F1AA, UniRef:UniRef100_UPI002041F1AA, UniRef:UniRef50_V2YJG8, UniRef:UniRef90_UPI002041F1AA
contig_4	cds	70801	71394	-	BEEJFJ_02245		hypothetical protein	RefSeq:WP_251445764.1, SO:0001217, UniParc:UPI00203B76E6, UniRef:UniRef100_UPI00203B76E6, UniRef:UniRef50_UPI00203B76E6, UniRef:UniRef90_UPI00203B76E6
contig_4	cds	71391	71591	-	BEEJFJ_02250		molybdopterin oxidoreductase	RefSeq:WP_251445767.1, SO:0001217, UniParc:UPI00203CCADD, UniRef:UniRef100_UPI00203CCADD, UniRef:UniRef50_A0A1C6H558, UniRef:UniRef90_UPI00203CCADD
contig_4	cds	71588	72007	-	BEEJFJ_02255		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0023F0657A, UniRef:UniRef90_UPI00203A4642
contig_4	cds	72004	72396	-	BEEJFJ_02260		Phage tail protein	RefSeq:WP_251445774.1, SO:0001217, UniParc:UPI002042554F, UniRef:UniRef100_UPI002042554F, UniRef:UniRef50_V2Y053, UniRef:UniRef90_UPI002042554F
contig_4	cds	72408	73430	-	BEEJFJ_02265		phage tail sheath subtilisin-like domain-containing protein	RefSeq:WP_251445777.1, SO:0001217, UniParc:UPI0020418AFA, UniRef:UniRef100_UPI0020418AFA, UniRef:UniRef50_R9M5T6, UniRef:UniRef90_UPI0020418AFA
contig_4	cds	73427	73921	-	BEEJFJ_02270		hypothetical protein	RefSeq:WP_251445780.1, SO:0001217, UniParc:UPI00203FDAB6, UniRef:UniRef100_UPI00203FDAB6, UniRef:UniRef50_UPI00203FDAB6, UniRef:UniRef90_UPI00203FDAB6
contig_4	cds	73918	74244	-	BEEJFJ_02275		hypothetical protein	RefSeq:WP_251445782.1, SO:0001217, UniParc:UPI00203C4E6C, UniRef:UniRef100_UPI00203C4E6C, UniRef:UniRef50_UPI00203C4E6C, UniRef:UniRef90_UPI00203C4E6C
contig_4	cds	74244	74591	-	BEEJFJ_02280		hypothetical protein	RefSeq:WP_251445785.1, SO:0001217, UniParc:UPI0020422FE8, UniRef:UniRef100_UPI0020422FE8, UniRef:UniRef50_UPI0020422FE8, UniRef:UniRef90_UPI0020422FE8
contig_4	cds	74658	75689	-	BEEJFJ_02285		phage major capsid protein	RefSeq:WP_251445788.1, SO:0001217, UniParc:UPI00203F55E2, UniRef:UniRef100_UPI00203F55E2, UniRef:UniRef50_A0A810QDQ8, UniRef:UniRef90_UPI00203F55E2
contig_4	cds	75704	76054	-	BEEJFJ_02290		DUF2190 domain-containing protein	RefSeq:WP_251445790.1, SO:0001217, UniParc:UPI00203D36D6, UniRef:UniRef100_UPI00203D36D6, UniRef:UniRef50_A0A1Y4WMB8, UniRef:UniRef90_UPI00203D36D6
contig_4	cds	76081	76998	-	BEEJFJ_02295		hypothetical protein	RefSeq:WP_251445793.1, SO:0001217, UniParc:UPI00203CA08E, UniRef:UniRef100_UPI00203CA08E, UniRef:UniRef50_A0A1Y4W735, UniRef:UniRef90_UPI00203CA08E
contig_4	cds	76995	78134	-	BEEJFJ_02300		phage portal protein	RefSeq:WP_251445903.1, SO:0001217, UniParc:UPI00203FF410, UniRef:UniRef100_UPI00203FF410, UniRef:UniRef50_A0A810Q789, UniRef:UniRef90_UPI00203FF410
contig_4	cds	78154	79365	-	BEEJFJ_02305		PBSX family phage terminase large subunit	KEGG:K06909, RefSeq:WP_251445796.1, SO:0001217, UniParc:UPI0020426531, UniRef:UniRef100_UPI0020426531, UniRef:UniRef50_A0A096DBA5, UniRef:UniRef90_UPI0020426531
contig_4	cds	79405	79695	-	BEEJFJ_02310		XRE family transcriptional regulator	RefSeq:WP_251445799.1, SO:0001217, UniParc:UPI00203B8A9B, UniRef:UniRef100_UPI00203B8A9B, UniRef:UniRef50_UPI00203B8A9B, UniRef:UniRef90_UPI00203B8A9B
contig_4	cds	79861	81279	+	BEEJFJ_02315		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	EC:2.5.1.7, GO:0008760, GO:0019277, KEGG:K00790, SO:0001217, UniRef:UniRef50_Q8XH79, UniRef:UniRef90_UPI00203A50A9
contig_4	cds	81384	82169	+	BEEJFJ_02320		MBL fold metallo-hydrolase	RefSeq:WP_251445805.1, SO:0001217, UniParc:UPI00203C5564, UniRef:UniRef100_UPI00203C5564, UniRef:UniRef50_A0A6N2ZF31, UniRef:UniRef90_UPI00203C5564
contig_4	cds	82173	82661	+	BEEJFJ_02325	rlmH	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	EC:2.1.1.177, GO:0006364, GO:0008168, KEGG:K00783, RefSeq:WP_251445808.1, SO:0001217, UniParc:UPI00203CB226, UniRef:UniRef100_UPI00203CB226, UniRef:UniRef50_A0A1C5NS54, UniRef:UniRef90_UPI00203CB226
contig_4	cds	82800	84527	+	BEEJFJ_02330		phospho-sugar mutase	RefSeq:WP_251445811.1, SO:0001217, UniParc:UPI00203EA81E, UniRef:UniRef100_UPI00203EA81E, UniRef:UniRef50_R9M9K2, UniRef:UniRef90_UPI00203EA81E
contig_4	cds	84905	88144	+	BEEJFJ_02335		S-layer-like y domain-containing protein	RefSeq:WP_251445814.1, SO:0001217, UniParc:UPI00203A57A3, UniRef:UniRef100_UPI00203A57A3, UniRef:UniRef50_UPI00203A57A3, UniRef:UniRef90_UPI00203A57A3
contig_4	cds	88244	88840	-	BEEJFJ_02340		hypothetical protein	RefSeq:WP_251445817.1, SO:0001217, UniParc:UPI00203D39D0, UniRef:UniRef100_UPI00203D39D0, UniRef:UniRef50_UPI00203D39D0, UniRef:UniRef90_UPI00203D39D0
contig_4	cds	88846	89676	-	BEEJFJ_02345		winged helix-turn-helix domain-containing protein	RefSeq:WP_251445820.1, SO:0001217, UniParc:UPI00203E97F6, UniRef:UniRef100_UPI00203E97F6, UniRef:UniRef50_UPI00203E97F6, UniRef:UniRef90_UPI00203E97F6
contig_4	cds	89689	91173	-	BEEJFJ_02350		hypothetical protein	RefSeq:WP_251445823.1, SO:0001217, UniParc:UPI00203A8AD6, UniRef:UniRef100_UPI00203A8AD6, UniRef:UniRef50_UPI00203A8AD6, UniRef:UniRef90_UPI00203A8AD6
contig_4	cds	91249	91527	+	BEEJFJ_02355		hypothetical protein	RefSeq:WP_251445826.1, SO:0001217, UniParc:UPI00203E4004, UniRef:UniRef100_UPI00203E4004, UniRef:UniRef50_UPI00203E4004, UniRef:UniRef90_UPI00203E4004
contig_4	cds	91606	91992	-	BEEJFJ_02360		hypothetical protein	RefSeq:WP_251445828.1, SO:0001217, UniParc:UPI00204113E0, UniRef:UniRef100_UPI00204113E0, UniRef:UniRef50_UPI00204113E0, UniRef:UniRef90_UPI00204113E0
contig_4	cds	92399	95443	+	BEEJFJ_02365		S-layer-like y domain-containing protein	RefSeq:WP_251445831.1, SO:0001217, UniParc:UPI00204258D9, UniRef:UniRef100_UPI00204258D9, UniRef:UniRef50_UPI00204258D9, UniRef:UniRef90_UPI00204258D9
contig_4	cds	95532	95906	-	BEEJFJ_02370		hypothetical protein	RefSeq:WP_251445834.1, SO:0001217, UniParc:UPI00203DE3DD, UniRef:UniRef100_UPI00203DE3DD, UniRef:UniRef50_UPI00203DE3DD, UniRef:UniRef90_UPI00203DE3DD
contig_4	cds	96049	96450	+	BEEJFJ_02375		hypothetical protein	RefSeq:WP_251445837.1, SO:0001217, UniParc:UPI00203DE33C, UniRef:UniRef100_UPI00203DE33C, UniRef:UniRef50_UPI00203DE33C, UniRef:UniRef90_UPI00203DE33C
contig_4	cds	96541	99567	-	BEEJFJ_02380		S-layer-like y domain-containing protein	RefSeq:WP_251445840.1, SO:0001217, UniParc:UPI00203C2A61, UniRef:UniRef100_UPI00203C2A61, UniRef:UniRef50_UPI00203C2A61, UniRef:UniRef90_UPI00203C2A61
contig_4	cds	99929	102352	-	BEEJFJ_02385		S-layer-like y domain-containing protein	RefSeq:WP_251445843.1, SO:0001217, UniParc:UPI00203D0B23, UniRef:UniRef100_UPI00203D0B23, UniRef:UniRef50_UPI00203D0B23, UniRef:UniRef90_UPI00203D0B23
contig_4	cds	102371	103684	-	BEEJFJ_02390		ABC transporter permease	RefSeq:WP_251445846.1, SO:0001217, UniParc:UPI0020415E37, UniRef:UniRef100_UPI0020415E37, UniRef:UniRef50_A0A174R7K0, UniRef:UniRef90_UPI0020415E37
contig_4	cds	103681	104376	-	BEEJFJ_02395		ABC transporter ATP-binding protein	SO:0001217, UniParc:UPI0024083F72, UniRef:UniRef100_UPI0024083F72, UniRef:UniRef50_R5J533, UniRef:UniRef90_UPI0024083F72
contig_4	cds	104387	106135	-	BEEJFJ_02400	hlyD	HlyD family efflux transporter periplasmic adaptor subunit	RefSeq:WP_251445849.1, SO:0001217, UniParc:UPI00204262C5, UniRef:UniRef100_UPI00204262C5, UniRef:UniRef50_A0A1Y4W700, UniRef:UniRef90_UPI00204262C5
contig_4	cds	106502	109624	+	BEEJFJ_02405		S-layer-like y domain-containing protein	RefSeq:WP_251445852.1, SO:0001217, UniParc:UPI0020409476, UniRef:UniRef100_UPI0020409476, UniRef:UniRef50_UPI0020409476, UniRef:UniRef90_UPI0020409476
contig_4	cds	109709	110080	-	BEEJFJ_02410		hypothetical protein	RefSeq:WP_251445855.1, SO:0001217, UniParc:UPI0020405B82, UniRef:UniRef100_UPI0020405B82, UniRef:UniRef50_UPI00204113E0, UniRef:UniRef90_UPI0020405B82
contig_4	cds	110188	111006	-	BEEJFJ_02415		hypothetical protein	RefSeq:WP_251445858.1, SO:0001217, UniParc:UPI002041B6EE, UniRef:UniRef100_UPI002041B6EE, UniRef:UniRef50_UPI002041B6EE, UniRef:UniRef90_UPI002041B6EE
contig_4	cds	111028	112344	-	BEEJFJ_02420		hypothetical protein	RefSeq:WP_251445861.1, SO:0001217, UniParc:UPI00203CDEB0, UniRef:UniRef100_UPI00203CDEB0, UniRef:UniRef50_UPI00203CDEB0, UniRef:UniRef90_UPI00203CDEB0
contig_4	cds	112331	114127	-	BEEJFJ_02425		ATP-binding protein	RefSeq:WP_251445863.1, SO:0001217, UniParc:UPI00203B7F12, UniRef:UniRef100_UPI00203B7F12, UniRef:UniRef50_A0A1C6H5S0, UniRef:UniRef90_UPI00203B7F12
contig_4	cds	114175	115854	-	BEEJFJ_02430		hypothetical protein	RefSeq:WP_251445866.1, SO:0001217, UniParc:UPI00203EE223, UniRef:UniRef100_UPI00203EE223, UniRef:UniRef50_UPI00203EE223, UniRef:UniRef90_UPI00203EE223
contig_4	cds	115859	116575	-	BEEJFJ_02435		response regulator	RefSeq:WP_251445869.1, SO:0001217, UniParc:UPI00203FC298, UniRef:UniRef100_UPI00203FC298, UniRef:UniRef50_A0A1C5SV18, UniRef:UniRef90_UPI00203FC298
contig_4	cds	116572	117129	-	BEEJFJ_02440		NUDIX hydrolase	RefSeq:WP_251445872.1, SO:0001217, UniParc:UPI002040BB73, UniRef:UniRef100_UPI002040BB73, UniRef:UniRef50_A0A174G218, UniRef:UniRef90_UPI002040BB73
contig_4	cds	117312	117599	+	BEEJFJ_02445		hypothetical protein	RefSeq:WP_251445875.1, SO:0001217, UniParc:UPI00203DB22B, UniRef:UniRef100_UPI00203DB22B, UniRef:UniRef50_UPI00203DB22B, UniRef:UniRef90_UPI00203DB22B
contig_4	cds	117669	118133	+	BEEJFJ_02450	smpB	SsrA-binding protein SmpB	GO:0003723, KEGG:K03664, RefSeq:WP_251445878.1, SO:0001217, UniParc:UPI00203F0CCA, UniRef:UniRef100_UPI00203F0CCA, UniRef:UniRef50_Q7NKI3, UniRef:UniRef90_UPI00203F0CCA
contig_4	cds	118194	118715	+	BEEJFJ_02455		peptidylprolyl isomerase	RefSeq:WP_251445881.1, SO:0001217, UniParc:UPI00203F5EED, UniRef:UniRef100_UPI00203F5EED, UniRef:UniRef50_A0A109Q738, UniRef:UniRef90_UPI00203F5EED
contig_4	tmRNA	118764	119111	+	BEEJFJ_02460	ssrA	transfer-messenger RNA, SsrA	SO:0000584
contig_4	cds	119347	120918	+	BEEJFJ_02465		DUF262 domain-containing protein	RefSeq:WP_251445885.1, SO:0001217, UniParc:UPI002041B7BE, UniRef:UniRef100_UPI002041B7BE, UniRef:UniRef50_A0A089KXJ1, UniRef:UniRef90_UPI002041B7BE
contig_4	cds	121348	122589	+	BEEJFJ_02470		glycerate kinase	EC:2.7.1.165, KEGG:K11529, RefSeq:WP_251445888.1, SO:0001217, UniParc:UPI002040953B, UniRef:UniRef100_UPI002040953B, UniRef:UniRef50_D4K1M6, UniRef:UniRef90_UPI002040953B
contig_4	cds	122609	123694	+	BEEJFJ_02475		DUF362 domain-containing protein	RefSeq:WP_251445891.1, SO:0001217, UniParc:UPI00203E8059, UniRef:UniRef100_UPI00203E8059, UniRef:UniRef50_A0A096BBZ1, UniRef:UniRef90_UPI00203E8059
contig_5	cds	49	588	-	BEEJFJ_02480		DUF4330 domain-containing protein	RefSeq:WP_251445906.1, SO:0001217, UniParc:UPI00203C423B, UniRef:UniRef100_UPI00203C423B, UniRef:UniRef50_UPI00203C423B, UniRef:UniRef90_UPI00203C423B
contig_5	cds	732	2972	+	BEEJFJ_02485	csaB	polysaccharide pyruvyl transferase CsaB	GO:0042545, GO:0046919, KEGG:K16710, RefSeq:WP_251445908.1, SO:0001217, UniParc:UPI002041E98B, UniRef:UniRef100_UPI002041E98B, UniRef:UniRef50_A6P0X2, UniRef:UniRef90_UPI002041E98B
contig_5	cds	2969	4054	+	BEEJFJ_02490		glycosyltransferase	RefSeq:WP_251445910.1, SO:0001217, UniParc:UPI002041ADEF, UniRef:UniRef100_UPI002041ADEF, UniRef:UniRef50_UPI002041ADEF, UniRef:UniRef90_UPI002041ADEF
contig_5	cds	4213	5001	+	BEEJFJ_02495	merR	MerR family transcriptional regulator	RefSeq:WP_251445912.1, SO:0001217, UniParc:UPI00203F577D, UniRef:UniRef100_UPI00203F577D, UniRef:UniRef50_A0A6N8I004, UniRef:UniRef90_UPI00203F577D
contig_5	cds	5053	5988	+	BEEJFJ_02500		inorganic phosphate transporter	RefSeq:WP_251445914.1, SO:0001217, UniParc:UPI00203B8541, UniRef:UniRef100_UPI00203B8541, UniRef:UniRef50_V2XU71, UniRef:UniRef90_UPI00203B8541
contig_5	cds	6016	6672	+	BEEJFJ_02505		HAD-IA family hydrolase	RefSeq:WP_251445915.1, SO:0001217, UniParc:UPI00204171A4, UniRef:UniRef100_UPI00204171A4, UniRef:UniRef50_A0A1C6A7Q3, UniRef:UniRef90_UPI00204171A4
contig_5	cds	6744	8114	-	BEEJFJ_02510		alanine/glycine:cation symporter family protein	KEGG:K03310, RefSeq:WP_251445917.1, SO:0001217, UniParc:UPI00203C9116, UniRef:UniRef100_UPI00203C9116, UniRef:UniRef50_V2YB88, UniRef:UniRef90_UPI00203C9116
contig_5	cds	8189	9184	-	BEEJFJ_02515		ATP-binding protein	SO:0001217, UniRef:UniRef50_UPI00203C6C36, UniRef:UniRef90_UPI00203C6C36
contig_5	cds	9959	10750	-	BEEJFJ_02520		sporulation initiation factor Spo0A C-terminal domain-containing protein	RefSeq:WP_251445921.1, SO:0001217, UniParc:UPI00203A8C39, UniRef:UniRef100_UPI00203A8C39, UniRef:UniRef50_UPI00203A8C39, UniRef:UniRef90_UPI00203A8C39
contig_5	cds	10900	12084	-	BEEJFJ_02525		DUF2812 domain-containing protein	RefSeq:WP_251445923.1, SO:0001217, UniParc:UPI00203E8C25, UniRef:UniRef100_UPI00203E8C25, UniRef:UniRef50_UPI00203E8C25, UniRef:UniRef90_UPI00203E8C25
contig_5	cds	12081	12392	-	BEEJFJ_02530	padR	PadR family transcriptional regulator	RefSeq:WP_251445926.1, SO:0001217, UniParc:UPI00203F97C8, UniRef:UniRef100_UPI00203F97C8, UniRef:UniRef50_R5CXM5, UniRef:UniRef90_UPI00203F97C8
contig_5	tRNA	12571	12646	+	BEEJFJ_02535	trnV	tRNA-Val(tac)	SO:0000273
contig_5	tRNA	12650	12726	+	BEEJFJ_02540	trnD	tRNA-Asp(gtc)	SO:0000256
contig_5	tRNA	12730	12805	+	BEEJFJ_02545	trnF	tRNA-Phe(gaa)	SO:0000267
contig_5	tRNA	12997	13072	+	BEEJFJ_02550	trnG	tRNA-Gly(gcc)	SO:0000260
contig_5	tRNA	13190	13263	+	BEEJFJ_02555	trnC	tRNA-Cys(gca)	SO:0000258
contig_5	cds	13339	14220	-	BEEJFJ_02560	hslO	Hsp33 family molecular chaperone HslO	GO:0006457, GO:0051082, KEGG:K04083, SO:0001217, UniRef:UniRef50_R9M0Z7, UniRef:UniRef90_UPI00203B3703
contig_5	cds	14223	14966	-	BEEJFJ_02565		class I SAM-dependent methyltransferase	RefSeq:WP_251445929.1, SO:0001217, UniParc:UPI00203D71B9, UniRef:UniRef100_UPI00203D71B9, UniRef:UniRef50_A0A645D8F2, UniRef:UniRef90_UPI00203D71B9
contig_5	cds	14953	15255	-	BEEJFJ_02570		YerC/YecD family TrpR-related protein	RefSeq:WP_251445931.1, SO:0001217, UniParc:UPI0020409A32, UniRef:UniRef100_UPI0020409A32, UniRef:UniRef50_A0A810Q8V9, UniRef:UniRef90_UPI0020409A32
contig_5	cds	15376	16062	+	BEEJFJ_02575		hypothetical protein	RefSeq:WP_251445934.1, SO:0001217, UniParc:UPI00203B1384, UniRef:UniRef100_UPI00203B1384, UniRef:UniRef50_UPI00203B1384, UniRef:UniRef90_UPI00203B1384
contig_5	cds	16164	16352	+	BEEJFJ_02580	rpmB	50S ribosomal protein L28	COG:COG0227, COG:J, GO:0000311, GO:0003735, GO:0006412, GO:0022625, RefSeq:WP_251445935.1, SO:0001217, UniParc:UPI00203C404D, UniRef:UniRef100_UPI00203C404D, UniRef:UniRef50_Q97IB7, UniRef:UniRef90_A0A0S2W457
contig_5	cds	16877	17665	+	BEEJFJ_02585		cell wall hydrolase	RefSeq:WP_251445942.1, SO:0001217, UniParc:UPI00203E41BF, UniRef:UniRef100_UPI00203E41BF, UniRef:UniRef50_A0A645ANI1, UniRef:UniRef90_UPI00203E41BF
contig_5	cds	17940	18758	+	BEEJFJ_02590		cell wall hydrolase	RefSeq:WP_251445944.1, SO:0001217, UniParc:UPI00203F480C, UniRef:UniRef100_UPI00203F480C, UniRef:UniRef50_A0A174FMN5, UniRef:UniRef90_UPI00203F480C
contig_5	cds	18891	20372	+	BEEJFJ_02595		S-layer-like y domain-containing protein	RefSeq:WP_251445947.1, SO:0001217, UniParc:UPI00203B3911, UniRef:UniRef100_UPI00203B3911, UniRef:UniRef50_UPI00203B3911, UniRef:UniRef90_UPI00203B3911
contig_5	cds	20431	23058	-	BEEJFJ_02600	clpB	ATP-dependent chaperone ClpB	GO:0006457, GO:0016887, RefSeq:WP_251445950.1, SO:0001217, UniParc:UPI00203DE579, UniRef:UniRef100_UPI00203DE579, UniRef:UniRef50_O34209, UniRef:UniRef90_UPI00203DE579
contig_5	cds	23135	23560	-	BEEJFJ_02605		Hsp20/alpha crystallin family protein	RefSeq:WP_251445952.1, SO:0001217, UniParc:UPI00203DDEBE, UniRef:UniRef100_UPI00203DDEBE, UniRef:UniRef50_R6CLZ3, UniRef:UniRef90_UPI00203DDEBE
contig_5	cds	23883	25229	-	BEEJFJ_02610		uracil-xanthine permease family protein	KEGG:K02824, RefSeq:WP_251445955.1, SO:0001217, UniParc:UPI0020421C82, UniRef:UniRef100_UPI0020421C82, UniRef:UniRef50_F7V1K5, UniRef:UniRef90_UPI0020421C82
contig_5	cds	25563	26822	+	BEEJFJ_02615		diaminopimelate decarboxylase	EC:4.1.1.20, KEGG:K01586, RefSeq:WP_251445958.1, SO:0001217, UniParc:UPI00203A6188, UniRef:UniRef100_UPI00203A6188, UniRef:UniRef50_A0A2U3LJY4, UniRef:UniRef90_UPI00203A6188
contig_5	cds	26888	27766	+	BEEJFJ_02620		DUF4261 domain-containing protein	RefSeq:WP_251445959.1, SO:0001217, UniParc:UPI00203D541A, UniRef:UniRef100_UPI00203D541A, UniRef:UniRef50_A0A3A8YY26, UniRef:UniRef90_UPI00203D541A
contig_5	cds	27830	28762	+	BEEJFJ_02625	gluQRS	tRNA glutamyl-Q(34) synthetase GluQRS	GO:0004812, GO:0006400, RefSeq:WP_251445962.1, SO:0001217, UniParc:UPI00203DB056, UniRef:UniRef100_UPI00203DB056, UniRef:UniRef50_A0A1Y4BG54, UniRef:UniRef90_UPI00203DB056
contig_5	cds	28814	29284	-	BEEJFJ_02630	yfcE	YfcE family phosphodiesterase	KEGG:K07095, RefSeq:WP_251445964.1, SO:0001217, UniParc:UPI00203B6028, UniRef:UniRef100_UPI00203B6028, UniRef:UniRef50_A0A212K0T8, UniRef:UniRef90_UPI00203B6028
contig_5	cds	29357	29635	+	BEEJFJ_02635		hypothetical protein	RefSeq:WP_251445967.1, SO:0001217, UniParc:UPI00203E6B9E, UniRef:UniRef100_UPI00203E6B9E, UniRef:UniRef50_UPI00203E6B9E, UniRef:UniRef90_UPI00203E6B9E
contig_5	cds	29663	30148	+	BEEJFJ_02640		hypothetical protein	RefSeq:WP_251445970.1, SO:0001217, UniParc:UPI00203B86CB, UniRef:UniRef100_UPI00203B86CB, UniRef:UniRef50_A0A1Y3XGD1, UniRef:UniRef90_UPI00203B86CB
contig_5	cds	30141	30380	+	BEEJFJ_02645		hypothetical protein	RefSeq:WP_251445972.1, SO:0001217, UniParc:UPI0020421227, UniRef:UniRef100_UPI0020421227, UniRef:UniRef50_UPI0020421227, UniRef:UniRef90_UPI0020421227
contig_5	cds	30352	31134	-	BEEJFJ_02650		DUF4430 domain-containing protein	RefSeq:WP_251445975.1, SO:0001217, UniParc:UPI0020404BFD, UniRef:UniRef100_UPI0020404BFD, UniRef:UniRef50_A0A096DFD8, UniRef:UniRef90_UPI0020404BFD
contig_5	cds	31193	32338	-	BEEJFJ_02655	wecB	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	EC:5.1.3.14, GO:0008761, GO:0009103, KEGG:K01791, SO:0001217, UniRef:UniRef50_A0A1S8SBV8, UniRef:UniRef90_UPI002407C65B
contig_5	cds	32338	33426	-	BEEJFJ_02660	mraY	MraY family glycosyltransferase	EC:2.7.8.33, EC:2.7.8.35, KEGG:K02851, RefSeq:WP_251445981.1, SO:0001217, UniParc:UPI00203B7A8A, UniRef:UniRef100_UPI00203B7A8A, UniRef:UniRef50_A0A1C5NK11, UniRef:UniRef90_UPI00203B7A8A
contig_5	cds	33480	34481	-	BEEJFJ_02665	trpS	tryptophan--tRNA ligase	EC:6.1.1.2, GO:0004830, GO:0005737, GO:0006436, RefSeq:WP_251445983.1, SO:0001217, UniParc:UPI00203E331A, UniRef:UniRef100_UPI00203E331A, UniRef:UniRef50_Q8XMQ5, UniRef:UniRef90_UPI00203E331A
contig_5	cds	34619	36103	+	BEEJFJ_02670	gltX	glutamate--tRNA ligase	EC:6.1.1.17, GO:0004818, GO:0006424, GO:0009332, RefSeq:WP_251445986.1, SO:0001217, UniParc:UPI0020417BF0, UniRef:UniRef100_UPI0020417BF0, UniRef:UniRef50_A0A806K0N6, UniRef:UniRef90_UPI0020417BF0
contig_5	cds	36144	38828	+	BEEJFJ_02675	inlB	InlB B-repeat-containing protein	RefSeq:WP_251445989.1, SO:0001217, UniParc:UPI00203E3C7C, UniRef:UniRef100_UPI00203E3C7C, UniRef:UniRef50_UPI00203E3C7C, UniRef:UniRef90_UPI00203E3C7C
contig_5	cds	38892	39431	-	BEEJFJ_02680		PPPDE domain-containing protein	RefSeq:WP_251445992.1, SO:0001217, UniParc:UPI00204082AD, UniRef:UniRef100_UPI00204082AD, UniRef:UniRef50_F4XDT6, UniRef:UniRef90_UPI00204082AD
contig_5	cds	39542	40378	-	BEEJFJ_02685		ABC transporter permease subunit	RefSeq:WP_251445995.1, SO:0001217, UniParc:UPI00203DE4B5, UniRef:UniRef100_UPI00203DE4B5, UniRef:UniRef50_UPI00203DE4B5, UniRef:UniRef90_UPI00203DE4B5
contig_5	cds	40371	41090	-	BEEJFJ_02690		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_G5IEA4
contig_5	cds	41116	41874	-	BEEJFJ_02695	traX	TraX family protein	RefSeq:WP_251445998.1, SO:0001217, UniParc:UPI00204083B0, UniRef:UniRef100_UPI00204083B0, UniRef:UniRef50_UPI00204083B0, UniRef:UniRef90_UPI00204083B0
contig_5	cds	42091	44523	+	BEEJFJ_02700	leuS	leucine--tRNA ligase	EC:6.1.1.4, GO:0004823, GO:0005737, GO:0006429, KEGG:K01869, RefSeq:WP_251446001.1, SO:0001217, UniParc:UPI00203F5D6E, UniRef:UniRef100_UPI00203F5D6E, UniRef:UniRef50_A0A3A9A135, UniRef:UniRef90_UPI00203F5D6E
contig_5	cds	44637	44819	+	BEEJFJ_02705	rpsU	30S ribosomal protein S21	COG:COG0828, COG:J, GO:0000314, GO:0003735, GO:0006412, GO:0022627, RefSeq:WP_251446004.1, SO:0001217, UniParc:UPI00203F4AF7, UniRef:UniRef100_UPI00203F4AF7, UniRef:UniRef50_A5VJG8, UniRef:UniRef90_A0A943IJD6
